Steady-state region,,PRESSURE IN PSIG,,,,,,,,,,,,
Sample,Time (ms),CHAN1,CHAN2,CHAN3,CHAN4,CHAN5,CHAN6,CHAN7,CHAN8,CHAN9,CHAN10,CHAN11,CHAN12,CHAN13
3791,30328,49.38087,24.25901,6.528144,-0.2306741,-3.524382,-6.059443,-7.766057,-8.254035,-9.34402,-8.88592,3.892879,4.798769,12.94517
3792,30336,49.21548,24.2114,6.561378,-0.2118436,-3.514107,-6.059443,-7.791255,-8.264238,-9.353583,-8.748351,4.116607,5.043653,12.89282
3793,30344,49.221,24.10033,6.532892,-0.2495048,-3.519245,-6.08959,-7.776135,-8.279542,-9.358365,-7.97389,3.872992,4.958885,13.18314
3794,30352,49.25407,24.10562,6.39046,-0.2730429,-3.565483,-6.069492,-7.801334,-8.279542,-9.353583,-7.087336,3.694008,4.304294,12.40738
3795,30360,49.1769,24.11091,6.475919,-0.2824582,-3.591171,-6.054419,-7.821492,-8.274441,-9.372711,-7.352283,3.579659,4.676328,13.10699
3796,30368,49.23753,24.10033,6.338234,-0.2824582,-3.534658,-6.08959,-7.791255,-8.279542,-9.363148,-7.469471,3.778528,4.384352,12.01712
3797,30376,49.07766,24.08446,6.262271,-0.2824582,-3.514107,-6.099638,-7.796294,-8.284643,-9.363148,-8.213362,3.167003,4.92592,12.68341
3798,30384,49.02253,24.02628,6.153073,-0.3342422,-3.580896,-6.074516,-7.811412,-8.289745,-9.367929,-7.331903,3.937624,4.483247,12.81667
3799,30392,49.03356,24.02099,6.186307,-0.3483651,-3.627134,-6.084565,-7.84669,-8.274441,-9.339237,-6.195687,3.743726,4.106503,13.17838
3800,30400,48.98946,24.0633,6.267018,-0.3436575,-3.601446,-6.099638,-7.806373,-8.284643,-9.348802,-6.970148,3.58463,4.690455,12.48828
3801,30408,48.99497,24.05272,6.276514,-0.3483651,-3.627134,-6.08959,-7.776135,-8.284643,-9.367929,-5.869598,3.077512,3.583772,12.87854
3802,30416,49.01151,24.01041,6.105595,-0.3671956,-3.621997,-6.084565,-7.811412,-8.289745,-9.367929,-6.445349,3.485195,4.243073,13.31639
